image,url,id,title,release_year,runtime,genre,rate,description,directed_by,cast,cast,cast,cast,votes
,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,105,The Mole,2008,25 min,"Short, Comedy, Mystery",,"This independent short film is based on an actor who suffers from an identity crisis with his film noir private detective character, 'The Mole' (his character actually wears a facial mole).",Salil Jason Fernandez,Neil Bhoopalam,Nikhil D'Souza,Steven Fernandez,Radhika Gulwadi,
,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,106,The Voice of God,2011,10 min,Short,7.3,"If God came down to earth and try to earn a living in Bombay, most probably he would become successful as a voice over artiste, lending his voice to thousands of Hindi movies and even more documentaries and public service films in India.",Bernd Lützeler,Harish Bhimani,,,,6
,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,107,Missed Call,2005,105 min,"Comedy, Drama",8,Christine is stalked by an unknown caller whilst confronting her boyfriend about his cheating ways.,Vinay Subramanian,Mridul Toolsidass,Ankur Vikal,Salim Ghouse,Heeba Shah,11
,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,108,That Game of Chess,2005,,Drama,7.8,"A cross cultural love story of an ambitious Indian guy, who comes to United States to achieve his dreams, but gets distracted during the course. Finally meets a girl of his dreams who brings him back to the path of success.",Raja Bundela,John Bozeman,Jym Braun,Mary Christina Brown,Raja Bundela,22
,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,109,Jhomma Chumma in London,1991,,,7.8,,Amitabh Bachchan,Sonali Bajpayee,Sudesh Bhonsle,Aamir Khan,,47
,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,110,Chath: A Roof Without Walls,2007,93 min,"Drama, Thriller",,Inspired by true stories of homeless people in America. It delves into the dynamics of the relationships between 3 homeless Indians in USA.,Hyder Bilgrami,Tirthankar Das,Sanjay Malhotra,Liyakat Khan,Charu Gupta,
,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,111,Everything to Dance For,2007,92 min,Drama,6.5,"Everything To Dance For is the story of Ellie (Sasha Jackson), a young girl following her dream of learning to dance, despite the misgivings of her mother (Sally Reeve), their lack of money...                 »",Pearl Howie,Sasha Jackson,Travis Oliver,Sally Reeve,Brendan Cole,10
,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,112,Motel Patel,2015,12 min,"Short, Drama, Family",,A kaleidoscope of Indian family characters who own a distressed motel in the United States.,Sanjini Bhakta,Russ Andrade,Alex Bhagat,Sanjini Bhakta,Sudha Desai,
,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,113,Now and Then,2016,30 min,"Short, Drama, Family",,"Now and Then is a love story about Mallika, a South Asian woman who immigrated to the US at the age of 18. The film flash forwards thirty years, when someone from her past catches up to her...                 »",Mohitha Sripathi,Nikki Chawla,Rome K. Chopra,Farokh Daruwala,Arun Ganapathy,
,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,114,Bollywood Blues,2008,50 min,Documentary,,"A story, told trough the passion for dance and music, about the choice between tradition and individual freedom for Hindustan who live in the Netherlands.",Rishi Chamman,Johan Badloe,Monique Badloe,Nanti Badloe,,
,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,115,Ghar Jaana Hai: The Stories Untold,2017,6 min,"Short, Music",,A couple take viewers through their emotional journey of love and separation in the backdrop of Drought and Migration.,Snehasis Das,Gargi Mohanty,Raj Zutshi,,,
,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,116,Milind Soman Made Me Gay,2007,27 min,"Documentary, Short",6.7,A conceptual documentary about desire and notions of home & belonging among gay South Asian in diaspora.,Harjant Gill,Daniel Phoenix Singh,Khusboo Dilruba,Harjant Gill,Ayush Gupta,11
,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,117,Larger Than Life,2003,78 min,Documentary,8.6,"Director Helle Ryslinge travels to the heart of Indian filmmaking, Bollywood, and meets the filmmakers, the stars and the audiences in an attempt to discover some of the reasons behind the success.",Helle Ryslinge,Shah Rukh Khan,Manisha Koirala,Helle Ryslinge,,878
,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,118,The Other Side of Bollywood,2006,80 min,Documentary,6.2,"A documentary about the making of films in different regions of India and the social forces, industry forces, and censor board that shape moviemaking there. Several actors, actresses, and ...                 »",Rahul Bose,Pak Daddy,Vasundhara Das,Zayed Khan,,6
